发病日期,confirm_duration
2020-06-02,9
2020-06-03,9
2020-06-04,9
2020-06-05,8
2020-06-06,5.5
2020-06-07,9.1
2020-06-08,7.8
2020-06-09,5.4
2020-06-10,4.666666667
2020-06-11,3.583333333
2020-06-12,2.612903226
2020-06-13,2.75
2020-06-14,3.193548387
2020-06-15,3.266666667
2020-06-16,1.428571429
2020-06-17,1.75
2020-06-18,2.571428571
2020-06-19,1.272727273
2020-06-20,2.153846154
2020-06-21,3.083333333
2020-06-22,1.428571429
2020-06-23,2
2020-06-24,2
2020-06-25,2
2020-06-26,1.647058824
2020-06-27,1.857142857
2020-06-29,2
2020-07-01,1